subplot,plot,year,dens_m2,cv_hgt,mean_hgt,sp_richness,shannon_sp,evenness_sp,effective_numbers,dens_ha,CWM_shade,CWM_drought,clear_intensity,grndwrk_intensity,logging_trail_intensity,planting_intensity,anti_browsing_intensity,spruce_share,IV,IVmax_species,year_f,cv_hgt_pos,cv_hgt_present,active_regeneration,region,country,country_name,IV_coniferous,IV_deciduous,x,y,plot_id,disturbance_year,disturbance_severity,elevation,slope,aspect,dist_to_edge
101_T1_JC_20250717,15_119,2025,0.25,0,0.3,1,0,0,1,2500,2.59,2.985,1,1,0,1,0.4,0,1,qusp,2025,1e-04,0,0.7,15,13,Czech Republic,0,1,4772781.52329023,2923970.49814758,15_119,2019,0.999999046325684,560.830444335938,2.54444374517081e-14,90,228
102_T1_JC_20250717,15_119,2025,0.75,0.769800358919501,0.9,2,0.636514168294813,0.918295834054489,1.88988157484231,7500,3.61333333333333,1.68666666666667,1,1,0,1,0.4,0.5,0.518518518518519,piab,2025,0.769800358919501,1,0.7,15,13,Czech Republic,0.518518518518519,0.481481481481481,4772781.72213421,2923950.80684534,15_119,2019,0.999999463558197,560.830444335938,1.72748871549162,3.37138796235133e-12,242
103_T1_JC_20250717,15_119,2025,0.5,0,0.9,1,0,0,1,5000,4.45,1.75,1,1,0,1,0.4,1,1,piab,2025,1e-04,0,0.7,15,13,Czech Republic,1,0,4772761.78228446,2923970.80046358,15_119,2019,0.99999874830246,560.830444335938,6.06077279064907,270,256
104_T1_JC_20250717,15_119,2025,0.25,0,0.5,1,0,0,1,2500,1.94,1.56,1,1,0,1,0.4,0,1,besp,2025,1e-04,0,0.7,15,13,Czech Republic,0,1,4772781.82279347,2923990.85719549,15_119,2019,0.999999046325684,560.830444335938,2.54444374517081e-14,90,228
105_T1_JC_20250717,15_119,2025,0.25,0,0.3,1,0,0,1,2500,4.45,1.75,1,1,0,1,0.4,1,1,piab,2025,1e-04,0,0.7,15,13,Czech Republic,1,0,4772801.78180214,2923970.85196898,15_119,2019,0.999996364116669,560.830444335938,4.07302481096003,270,201
106_T1_JC_20250717,15_139,2025,0,0,0,0,0,0,1e-04,0,,,1,0.4,0.4,0.6,0.4,,,"",2025,1e-04,0,0.5,15,13,Czech Republic,0,0,4773381.94449614,2923830.77116444,15_139,2018,0.619711518287659,556.85791015625,4.19037977273067,0,30
107_T1_JC_20250717,15_139,2025,0,0,0,0,0,0,1e-04,0,,,1,0.4,0.4,0.6,0.4,,,"",2025,1e-04,0,0.5,15,13,Czech Republic,0,0,4773381.74216883,2923851.00662161,15_139,2018,0.957425653934479,556.85791015625,2.54444374517081e-14,270,42
108_T1_JC_20250717,15_139,2025,0.75,0,5,1,0,0,1,7500,4.45,1.75,1,0.4,0.4,0.6,0.4,1,1,piab,2025,1e-04,0,0.5,15,13,Czech Republic,1,0,4773361.70179561,2923850.84914268,15_139,2018,0.506754219532013,556.85791015625,1.44327972164057,90,30
109_T1_JC_20250717,15_139,2025,0.75,0,1.2,1,0,0,1,7500,4.56,2.4,1,0.4,0.4,0.6,0.4,0,1,fasy,2025,1e-04,0,0.5,15,13,Czech Republic,0,1,4773401.59987006,2923850.77350366,15_139,2018,0.996920466423035,556.85791015625,9.29546046959503,90,30
110_T1_JC_20250717,15_139,2025,0.25,0,1.7,1,0,0,1,2500,2.73,2.11,1,0.4,0.4,0.6,0.4,0,1,soau,2025,1e-04,0,0.5,15,13,Czech Republic,0,1,4773381.85217428,2923870.77804389,15_139,2018,0.957425653934479,556.85791015625,2.54444374517081e-14,270,42
