subplot,plot,year,dens_m2,cv_hgt,mean_hgt,sp_richness,shannon_sp,evenness_sp,effective_numbers,dens_ha,pre_dist_trees_n,area_m2,pre_dist_dens_ha,time_snc_full_disturbance,disturbance_year,forest_year,disturbance_length,CWM_shade,CWM_drought,clear_intensity,grndwrk_intensity,logging_trail_intensity,planting_intensity,anti_browsing_intensity,spruce_share,IV,IVmax_species,year_f,cv_hgt_pos,cv_hgt_present,active_regeneration,region,country,country_name,IV_coniferous,IV_deciduous,x,y,plot_id,slope,aspect
628_T2_AH_20250827,111,2025,0.5,0.989949493661167,1,2,0.693147180559945,1,2,5000,135,1169.82864185958,1154.01517084931,5,2020,2018,2,2.12,2.465,1,0.6,0,0.8,0.2,0,0.675,psme,2025,0.989949493661167,1,0.5,,13,Czech Republic,1,0,4820386.03205862,2963986.45351514,111,4.18605743011216,250.084432231002
629_T2_AH_20250827,111,2025,0.75,0,1.2,1,0,0,1,7500,135,1169.82864185958,1154.01517084931,5,2020,2018,2,1.67,4.34,1,0.6,0,0.8,0.2,0,1,pisy,2025,1e-04,0,0.5,,13,Czech Republic,1,0,4820406.1755436,2963986.5042033,111,4.18605743011216,250.084432231002
630_T2_AH_20250827,111,2025,0.25,0,0.5,1,0,0,1,2500,135,1169.82864185958,1154.01517084931,5,2020,2018,2,1.67,4.34,1,0.6,0,0.8,0.2,0,1,pisy,2025,1e-04,0,0.5,,13,Czech Republic,1,0,4820405.93962737,2964006.49101716,111,4.18605743011216,250.084432231002
631_T2_AH_20250827,111,2025,0.75,1.45368549920959,1.86666666666667,2,0.636514168294813,0.918295834054489,1.88988157484231,7500,135,1169.82864185958,1154.01517084931,5,2020,2018,2,3.93,2.20166666666667,1,0.6,0,0.8,0.2,0,0.613095238095238,qusp,2025,1.45368549920959,1,0.5,,13,Czech Republic,0.386904761904762,0.613095238095238,4820426.02495013,2963986.20667584,111,3.90951485401119,276.321296410728
632_T2_AH_20250827,111,2025,0.5,0,0.7,1,0,0,1,5000,135,1169.82864185958,1154.01517084931,5,2020,2018,2,1.67,4.34,1,0.6,0,0.8,0.2,0,1,pisy,2025,1e-04,0,0.5,,13,Czech Republic,1,0,4820406.25189692,2963966.37489894,111,4.18605743011216,250.084432231002
633_T2_AH_20250827,112,2025,1,0.352941176470588,2.55,3,1.03972077083992,0.946394630357186,2.82842712474619,10000,44,1168.2062284624,376.645826121927,5,2020,2016,4,3.73,2.0525,0.6,0,0,0.6,0,0.333333333333333,0.544117647058824,piab,2025,0.352941176470588,1,0.3,,13,Czech Republic,0.816176470588235,0.183823529411765,4820666.03885128,2956786.5856623,112,3.41090166012934,90.6572686286092
634_T2_AH_20250827,112,2025,0,0,0,0,0,0,1e-04,0,44,1168.2062284624,376.645826121927,5,2020,2016,4,,,0.6,0,0,0.6,0,,,"",2025,1e-04,0,0.3,,13,Czech Republic,0,0,4820666.04648289,2956766.38906502,112,3.41090166012934,90.6572686286092
635_T2_AH_20250827,112,2025,0,0,0,0,0,0,1e-04,0,44,1168.2062284624,376.645826121927,5,2020,2016,4,,,0.6,0,0,0.6,0,,,"",2025,1e-04,0,0.3,,13,Czech Republic,0,0,4820685.95798605,2956766.26091844,112,3.41090166012934,90.6572686286092
636_T2_AH_20250827,112,2025,0.75,0,0.3,2,0.636514168294813,0.918295834054489,1.88988157484231,7500,44,1168.2062284624,376.645826121927,5,2020,2016,4,3.52666666666667,2.37,0.6,0,0,0.6,0,0,0.666666666666667,fasy,2025,1e-04,0,0.3,,13,Czech Republic,0.333333333333333,0.666666666666667,4820665.87201617,2956746.4312297,112,3.41090166012934,90.6572686286092
637_T2_AH_20250827,112,2025,0.75,0.527145897955745,2.3,2,0.636514168294813,0.918295834054489,1.88988157484231,7500,44,1168.2062284624,376.645826121927,5,2020,2016,4,2.45666666666667,2.12333333333333,0.6,0,0,0.6,0,0.5,0.768115942028986,lade,2025,0.527145897955745,1,0.3,,13,Czech Republic,1,0,4820646.07291621,2956766.56731196,112,3.41090166012934,90.6572686286092
