species_id,species,vegtype,hgt,n,dbh,dmg_bool,celkovy_pocet_poskoz,percentage_damage,dmg_jedinec,dmg_type,dmg_terminal,dmg_term_similar,tot_dmg_terminal,dmg_foliage,dmg_foliage_similar,tot_dmg_foliage,dmg_foliage_leaf_int,dmg_stem,dmg_stem_numeric,dmg_stem_cause,dmg_stem_horizont,dmg_stem_vertical,dmg_stem_grass,dmg_term_sample,dmg_stem_sample,dmg_foliage_sample,subplot,stump,clear,grndwrk,logging_trail,windthrow,standing_deadwood,planting,anti_browsing,comments,photo_sur_n,photo_sur_e,photo_sur_s,photo_sur_w,time,x,y,photo_e,photo_n,naruseni,plot,n_plots,hgt_est,dbh_est
24,DB,small,0.2–0.4,1,NA,1,1,100,1,terminal,odumrety,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,T1101ODB1,NA,NA,101_T1_JC_20250717,0,1,1,0,NA,1,1,0,NA,DCIM/context_n20250201025308703.jpg,DCIM/context_e20250201025250938.jpg,DCIM/context_s20250201025241371.jpg,DCIM/context_w20250201025229936.jpg,2025-02-01T02:50:21Z,16.21327461,49.25692903,DCIM/plot_e_20250201024414792.jpg,DCIM/plot_n_20250201024433375.jpg,TRUE,1,5,0.3,0.3
18,SM,small,0.4–0.6,2,NA,1,1,50,1,terminal,odumrety,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,102_T1_JC_20250717,NA,1,1,NA,NA,NA,1,1,Repelent,DCIM/context_n20250201030505207.jpg,DCIM/context_e20250201030456872.jpg,DCIM/context_s20250201030444708.jpg,DCIM/context_w20250201030432504.jpg,2025-02-01T03:03:45Z,16.21325491,49.2567525,DCIM/plot_e_20250201025738044.jpg,DCIM/plot_n_20250201025757978.jpg,TRUE,1,5,0.5,0.5
10,BR,small,1.3–2.0,1,NA,1,1,100,1,kmen,NA,NA,0,NA,NA,0,NA,stare,1,mechanizace,40-60,0-10,NA,NA,NA,NA,102_T1_JC_20250717,NA,1,1,NA,NA,NA,1,1,Repelent,DCIM/context_n20250201030505207.jpg,DCIM/context_e20250201030456872.jpg,DCIM/context_s20250201030444708.jpg,DCIM/context_w20250201030432504.jpg,2025-02-01T03:03:45Z,16.21325491,49.2567525,DCIM/plot_e_20250201025738044.jpg,DCIM/plot_n_20250201025757978.jpg,TRUE,1,5,1.7,1.7
18,SM,small,0.8–1.0,2,NA,1,2,100,2,terminal,chybajuci,NA,1,NA,NA,0,NA,stare,1,mechanizace,80-100,NA,NA,Oznuto,NA,NA,103_T1_JC_20250717,NA,1,1,NA,NA,NA,1,1,Repelent,DCIM/context_n20250201031345519.jpg,DCIM/context_e20250201031337269.jpg,DCIM/context_s20250201031329234.jpg,DCIM/context_w20250201031307401.jpg,2025-02-01T03:12:07Z,16.21300462,49.25694671,DCIM/plot_e_20250201030849577.jpg,DCIM/plot_n_20250201030856810.jpg,TRUE,1,5,0.9,0.9
10,BR,small,0.4–0.6,1,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,104_T1_JC_20250717,NA,1,1,NA,NA,1,1,0,NA,DCIM/context_n20250201031913243.jpg,DCIM/context_e20250201031903842.jpg,DCIM/context_s20250201031853092.jpg,DCIM/context_w20250201031838475.jpg,2025-02-01T03:17:56Z,16.2133019,49.25711115,DCIM/plot_e_20250201031635889.jpg,DCIM/plot_n_20250201031650439.jpg,TRUE,1,5,0.5,0.5
18,SM,small,0.2–0.4,1,NA,1,1,100,1,terminal,chybajuci,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,105_T1_JC_20250717,NA,1,1,NA,NA,NA,1,0,NA,DCIM/context_n20250201032926025.jpg,DCIM/context_e20250201032918609.jpg,DCIM/context_s20250201032909892.jpg,DCIM/context_w20250201032902224.jpg,2025-02-01T03:28:26Z,16.21355244,49.25691682,DCIM/plot_e_20250201032602202.jpg,DCIM/plot_n_20250201032610753.jpg,TRUE,1,5,0.3,0.3
18,SM,advanced,>4,3,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,108_T1_JC_20250717,NA,0,NA,NA,NA,NA,NA,0,NA,DCIM/context_n20250201040531763.jpg,DCIM/context_e20250201040523778.jpg,DCIM/context_s20250201040506379.jpg,DCIM/context_w20250201040457444.jpg,2025-02-01T04:04:17Z,16.22108316,49.25541685,DCIM/plot_e_20250201040102387.jpg,DCIM/plot_n_20250201040112537.jpg,TRUE,2,5,5,5
13,BK,small,1.0–1.3,3,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,109_T1_JC_20250717,NA,1,1,NA,NA,1,1,1,Oplocenka,DCIM/context_n20250201041704245.jpg,DCIM/context_e20250201041656279.jpg,DCIM/context_s20250201041645713.jpg,DCIM/context_w20250201041632345.jpg,2025-02-01T04:15:27Z,16.22162942,49.25538585,DCIM/plot_e_20250201041150254.jpg,DCIM/plot_n_20250201041215737.jpg,TRUE,2,5,1.2,1.2
30,JR,small,1.3–2.0,1,NA,1,1,100,1,terminal,chybajuci,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,110_T1_JC_20250717,NA,1,0,NA,NA,NA,1,0,NA,DCIM/context_n20250201042541841.jpg,DCIM/context_e20250201042534341.jpg,DCIM/context_s20250201042525390.jpg,DCIM/context_w20250201042516040.jpg,2025-02-01T04:24:29Z,16.22138181,49.25558003,DCIM/plot_e_20250201042204487.jpg,DCIM/plot_n_20250201042213285.jpg,TRUE,2,5,1.7,1.7
19,BO,small,1.3–2.0,3,NA,1,2,66.66666666666666,1,olistení,NA,NA,0,80-100,1,2,80-100,NA,0,NA,NA,NA,NA,NA,NA,T1111OBO4,111_T1_JC_20250717,NA,1,1,NA,NA,NA,0,0,NA,DCIM/context_n20250201052650072.jpg,DCIM/context_e20250201052641685.jpg,DCIM/context_s20250201052633549.jpg,DCIM/context_w20250201052616177.jpg,2025-02-01T05:24:57Z,16.32645108,49.19575448,DCIM/plot_e_20250201051907895.jpg,DCIM/plot_n_20250201051922080.jpg,TRUE,3,5,1.7,1.7
